assumption,context_compile_success,context_variables,dataset,hypothesis,llm_confidence,predicate_families,query
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x24 = 1 THEN y = 1 increases,0.88,macro,bank_nr_employed_low = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x25 = 1 THEN y = 1 increases,0.88,macro,bank_confidence_ge_neg40 = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x26 = 1 THEN y = 1 decreases,0.88,calendar,bank_day_monday = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x27 = 1 THEN y = 1 increases,0.88,calendar,bank_day_friday = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x13 = 1 AND x21 = 1 THEN y = 1 increases,0.88,interaction+macro,bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x17 = 1 AND x21 = 1 THEN y = 1 increases,0.88,history+macro,bank_previous_contact = 1 AND bank_euribor_low = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x18 = 1 AND x20 = 1 THEN y = 1 increases,0.88,history,bank_poutcome_success = 1 AND bank_pdays_recent = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x4 = 1 AND x13 = 1 THEN y = 1 increases,0.88,interaction+occupation,bank_job_retired = 1 AND bank_duration_ge_300 = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_campaign_gt_2,Bank,IF x10 = 1 AND x13 = 1 THEN y = 1 increases,0.88,channel+interaction,bank_contact_cellular = 1 AND bank_duration_ge_300 = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_contact_cellular, bank_previous_contact, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_contact_cellular;bank_previous_contact,Bank,IF x15 = 1 AND x7 = 1 THEN y = 1 decreases,0.88,campaign+credit,bank_campaign_gt_2 = 1 AND bank_default_unknown = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_contact_cellular, bank_previous_contact, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_contact_cellular;bank_previous_contact,Bank,IF x15 = 1 AND x9 = 1 THEN y = 1 decreases,0.88,campaign+credit,bank_campaign_gt_2 = 1 AND bank_loan_yes = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x3 = 1 AND x15 = 1 THEN y = 1 decreases,0.88,campaign+occupation,bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x2 = 1 AND x6 = 1 THEN y = 1 increases,0.88,education+occupation,bank_job_admin = 1 AND bank_university_degree = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_campaign_gt_2,Bank,IF x5 = 1 AND x10 = 1 THEN y = 1 increases,0.88,channel+occupation,bank_job_student = 1 AND bank_contact_cellular = 1 -> P(y=1) increases
"Within exact-match strata of bank_default_unknown, bank_contact_cellular, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_default_unknown;bank_contact_cellular;bank_campaign_gt_2,Bank,IF x0 = 1 AND x4 = 1 THEN y = 1 increases,0.88,demographic+occupation,bank_age_ge_50 = 1 AND bank_job_retired = 1 -> P(y=1) increases
"Within exact-match strata of bike_workingday, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_workingday;bike_commute_hour;bike_clear_weather,Bike,IF x0 = 1 THEN y = 1 increases,0.88,season,bike_warm_season = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_commute_hour;bike_clear_weather,Bike,IF x1 = 1 THEN y = 1 increases,0.88,calendar,bike_workingday = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_clear_weather,Bike,IF x2 = 1 THEN y = 1 increases,0.88,hour,bike_commute_hour = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_clear_weather,Bike,IF x3 = 1 THEN y = 1 increases,0.88,hour,bike_morning_peak = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_clear_weather,Bike,IF x4 = 1 THEN y = 1 increases,0.88,hour,bike_evening_peak = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_clear_weather,Bike,IF x5 = 1 THEN y = 1 increases,0.88,hour,bike_midday = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_clear_weather,Bike,IF x6 = 1 THEN y = 1 decreases,0.88,hour,bike_night = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_commute_hour;bike_clear_weather,Bike,IF x7 = 1 THEN y = 1 decreases,0.88,calendar,bike_weekend = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x8 = 1 THEN y = 1 increases,0.88,weather,bike_clear_weather = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x9 = 1 THEN y = 1 decreases,0.88,weather,bike_bad_weather = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x10 = 1 THEN y = 1 increases,0.88,weather,bike_temp_high = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x11 = 1 THEN y = 1 decreases,0.88,weather,bike_temp_low = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x12 = 1 THEN y = 1 decreases,0.88,weather,bike_humidity_high = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x13 = 1 THEN y = 1 decreases,0.88,weather,bike_wind_high = 1 -> P(y=1) decreases
"Within exact-match strata of bike_workingday, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_workingday;bike_commute_hour;bike_clear_weather,Bike,IF x14 = 1 THEN y = 1 increases,0.88,season,bike_summer = 1 -> P(y=1) increases
"Within exact-match strata of bike_workingday, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_workingday;bike_commute_hour;bike_clear_weather,Bike,IF x15 = 1 THEN y = 1 decreases,0.88,season,bike_winter = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_commute_hour;bike_clear_weather,Bike,IF x16 = 1 THEN y = 1 decreases,0.88,calendar,bike_holiday = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_commute_hour;bike_clear_weather,Bike,IF x17 = 1 THEN y = 1 increases,0.88,calendar,bike_weekday = 1 -> P(y=1) increases
"Within exact-match strata of bike_workingday, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_workingday;bike_commute_hour;bike_clear_weather,Bike,IF x18 = 1 THEN y = 1 increases,0.88,season,bike_fall = 1 -> P(y=1) increases
"Within exact-match strata of bike_workingday, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_workingday;bike_commute_hour;bike_clear_weather,Bike,IF x19 = 1 THEN y = 1 increases,0.88,season,bike_spring = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x20 = 1 THEN y = 1 increases,0.88,weather,bike_temp_mild = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x21 = 1 THEN y = 1 decreases,0.88,weather+hour,bike_cold_night = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_commute_hour, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_commute_hour;bike_clear_weather,Bike,IF x22 = 1 THEN y = 1 increases,0.88,calendar,bike_september = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_clear_weather, bike_cold_night, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_clear_weather;bike_cold_night,Bike,IF x1 = 1 AND x3 = 1 THEN y = 1 increases,0.88,calendar+hour,bike_workingday = 1 AND bike_morning_peak = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_clear_weather, bike_cold_night, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_clear_weather;bike_cold_night,Bike,IF x1 = 1 AND x4 = 1 THEN y = 1 increases,0.88,calendar+hour,bike_workingday = 1 AND bike_evening_peak = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_clear_weather, bike_cold_night, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_clear_weather;bike_cold_night,Bike,IF x7 = 1 AND x5 = 1 THEN y = 1 increases,0.88,calendar+hour,bike_weekend = 1 AND bike_midday = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x8 = 1 AND x10 = 1 THEN y = 1 increases,0.88,weather,bike_clear_weather = 1 AND bike_temp_high = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x9 = 1 AND x12 = 1 THEN y = 1 decreases,0.88,weather,bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases
"Within exact-match strata of bike_workingday, bike_clear_weather, bike_cold_night, the antecedent is compared against locally similar records.",1,bike_workingday;bike_clear_weather;bike_cold_night,Bike,IF x15 = 1 AND x6 = 1 THEN y = 1 decreases,0.88,hour+season,bike_winter = 1 AND bike_night = 1 -> P(y=1) decreases
"Within exact-match strata of bike_workingday, bike_clear_weather, bike_cold_night, the antecedent is compared against locally similar records.",1,bike_workingday;bike_clear_weather;bike_cold_night,Bike,IF x14 = 1 AND x4 = 1 THEN y = 1 increases,0.88,hour+season,bike_summer = 1 AND bike_evening_peak = 1 -> P(y=1) increases
"Within exact-match strata of bike_workingday, bike_clear_weather, bike_cold_night, the antecedent is compared against locally similar records.",1,bike_workingday;bike_clear_weather;bike_cold_night,Bike,IF x18 = 1 AND x2 = 1 THEN y = 1 increases,0.88,hour+season,bike_fall = 1 AND bike_commute_hour = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x13 = 1 AND x10 = 1 THEN y = 1 decreases,0.88,weather,bike_wind_high = 1 AND bike_temp_high = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_commute_hour, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_commute_hour,Bike,IF x20 = 1 AND x8 = 1 THEN y = 1 increases,0.88,weather,bike_temp_mild = 1 AND bike_clear_weather = 1 -> P(y=1) increases
"Within exact-match strata of bike_warm_season, bike_workingday, bike_clear_weather, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_workingday;bike_clear_weather,Bike,IF x21 = 1 AND x6 = 1 THEN y = 1 decreases,0.88,hour+weather+hour,bike_cold_night = 1 AND bike_night = 1 -> P(y=1) decreases
"Within exact-match strata of bike_warm_season, bike_clear_weather, bike_cold_night, the antecedent is compared against locally similar records.",1,bike_warm_season;bike_clear_weather;bike_cold_night,Bike,IF x22 = 1 AND x4 = 1 THEN y = 1 increases,0.88,calendar+hour,bike_september = 1 AND bike_evening_peak = 1 -> P(y=1) increases
"Within exact-match strata of diab_outpatient_prior, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_outpatient_prior;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x0 = 1 THEN y = 1 increases,0.88,demographic,diab_age_ge_70 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_admission_emergency,Healthcare,IF x1 = 1 THEN y = 1 increases,0.88,utilization,diab_time_in_hospital_ge_7 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_admission_emergency,Healthcare,IF x2 = 1 THEN y = 1 increases,0.88,utilization,diab_num_lab_procedures_ge_60 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_admission_emergency,Healthcare,IF x3 = 1 THEN y = 1 increases,0.88,utilization,diab_num_procedures_zero = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x4 = 1 THEN y = 1 increases,0.88,medication,diab_num_medications_ge_20 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x5 = 1 THEN y = 1 increases,0.88,history,diab_outpatient_prior = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x6 = 1 THEN y = 1 increases,0.88,history,diab_emergency_prior = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x7 = 1 THEN y = 1 increases,0.88,history,diab_inpatient_prior = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x8 = 1 THEN y = 1 increases,0.88,diagnosis,diab_diagnoses_ge_8 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x9 = 1 THEN y = 1 increases,0.88,medication,diab_insulin_changed = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x10 = 1 THEN y = 1 increases,0.88,medication,diab_diabetes_med_yes = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x11 = 1 THEN y = 1 increases,0.88,medication,diab_change_yes = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x12 = 1 THEN y = 1 increases,0.88,discharge,diab_discharge_home = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x13 = 1 THEN y = 1 increases,0.88,admission,diab_admission_emergency = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x14 = 1 THEN y = 1 decreases,0.88,history,diab_no_prior_inpatient = 1 -> P(y=1) decreases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_admission_emergency,Healthcare,IF x15 = 1 THEN y = 1 decreases,0.88,utilization,diab_short_stay = 1 -> P(y=1) decreases
"Within exact-match strata of diab_outpatient_prior, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_outpatient_prior;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x16 = 1 THEN y = 1 increases,0.88,demographic,diab_age_ge_80 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_time_in_hospital_ge_7, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_time_in_hospital_ge_7,Healthcare,IF x17 = 1 THEN y = 1 increases,0.88,medication,diab_num_medications_ge_25 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_outpatient_prior, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_outpatient_prior;diab_admission_emergency,Healthcare,IF x18 = 1 THEN y = 1 increases,0.88,utilization,diab_num_procedures_ge_3 = 1 -> P(y=1) increases
"Within exact-match strata of diab_age_ge_70, diab_time_in_hospital_ge_7, diab_admission_emergency, the antecedent is compared against locally similar records.",1,diab_age_ge_70;diab_time_in_hospital_ge_7;diab_admission_emergency,Healthcare,IF x19 = 1 THEN y = 1 decreases,0.88,history,diab_no_prior_utilization = 1 -> P(y=1) decreases
