file,has_schema,has_discovery_summary,has_validation_or_holdout,forbidden_hits,bytes
SyntheticSeed0_openai_gpt-4o-mini_20260518-005306.prompt.txt,1,1,0,,1396
SyntheticSeed0_openai_gpt-4o-mini_20260518-014617.prompt.txt,1,1,0,,1576
SyntheticSeed0_openai_gpt-4o_20260524-235307.prompt.txt,1,1,0,,993
SyntheticSeed10_openai_gpt-4o-mini_20260518-005545.prompt.txt,1,1,0,,1397
SyntheticSeed11_openai_gpt-4o-mini_20260518-005609.prompt.txt,1,1,0,,1398
SyntheticSeed12_openai_gpt-4o-mini_20260518-005626.prompt.txt,1,1,0,,1398
SyntheticSeed13_openai_gpt-4o-mini_20260518-005638.prompt.txt,1,1,0,,1397
SyntheticSeed14_openai_gpt-4o-mini_20260518-005651.prompt.txt,1,1,0,,1396
SyntheticSeed15_openai_gpt-4o-mini_20260518-005710.prompt.txt,1,1,0,,1396
SyntheticSeed16_openai_gpt-4o-mini_20260518-005734.prompt.txt,1,1,0,,1395
SyntheticSeed17_openai_gpt-4o-mini_20260518-005750.prompt.txt,1,1,0,,1396
SyntheticSeed18_openai_gpt-4o-mini_20260518-005805.prompt.txt,1,1,0,,1398
SyntheticSeed19_openai_gpt-4o-mini_20260518-005819.prompt.txt,1,1,0,,1397
SyntheticSeed1_ollama_llama3.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_llama3_2_1b_20260518-023150.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_llama3_2_1b_20260518-024209.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_llama3_2_3b_20260518-023357.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_qwen2.5:0.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_qwen2_5_0_5b_20260518-023105.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_qwen2_5_0_5b_20260518-023931.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_smollm2:135m_20260518-022707.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_smollm2_135m_20260518-023034.prompt.txt,1,1,0,,1578
SyntheticSeed1_ollama_smollm2_135m_20260518-023831.prompt.txt,1,1,0,,1578
SyntheticSeed1_openai_gpt-4o-mini_20260518-004657.prompt.txt,1,1,0,,1396
SyntheticSeed1_openai_gpt-4o-mini_20260518-005249.prompt.txt,1,1,0,,1396
SyntheticSeed1_openai_gpt-4o-mini_20260518-005335.prompt.txt,1,1,0,,1396
SyntheticSeed1_openai_gpt-4o-mini_20260518-014640.prompt.txt,1,1,0,,1576
SyntheticSeed1_openai_gpt-4o_20260524-235316.prompt.txt,1,1,0,,993
SyntheticSeed20_openai_gpt-4o-mini_20260518-005838.prompt.txt,1,1,0,,1397
SyntheticSeed21_openai_gpt-4o-mini_20260518-005854.prompt.txt,1,1,0,,1398
SyntheticSeed22_openai_gpt-4o-mini_20260518-005907.prompt.txt,1,1,0,,1397
SyntheticSeed23_openai_gpt-4o-mini_20260518-005925.prompt.txt,1,1,0,,1397
SyntheticSeed2_ollama_llama3.prompt.txt,1,1,0,,1574
SyntheticSeed2_openai_gpt-4o-mini_20260518-004711.prompt.txt,1,1,0,,1397
SyntheticSeed2_openai_gpt-4o-mini_20260518-005349.prompt.txt,1,1,0,,1397
SyntheticSeed2_openai_gpt-4o-mini_20260518-014717.prompt.txt,1,1,0,,1577
SyntheticSeed2_openai_gpt-4o_20260524-235325.prompt.txt,1,1,0,,994
SyntheticSeed3_openai_gpt-4o-mini_20260518-004726.prompt.txt,1,1,0,,1396
SyntheticSeed3_openai_gpt-4o-mini_20260518-005403.prompt.txt,1,1,0,,1396
SyntheticSeed3_openai_gpt-4o-mini_20260518-014809.prompt.txt,1,1,0,,1576
SyntheticSeed4_openai_gpt-4o-mini_20260518-004740.prompt.txt,1,1,0,,1394
SyntheticSeed4_openai_gpt-4o-mini_20260518-005414.prompt.txt,1,1,0,,1394
SyntheticSeed5_openai_gpt-4o-mini_20260518-004812.prompt.txt,1,1,0,,1396
SyntheticSeed5_openai_gpt-4o-mini_20260518-005427.prompt.txt,1,1,0,,1396
SyntheticSeed6_openai_gpt-4o-mini_20260518-004831.prompt.txt,1,1,0,,1396
SyntheticSeed6_openai_gpt-4o-mini_20260518-005438.prompt.txt,1,1,0,,1396
SyntheticSeed7_openai_gpt-4o-mini_20260518-005454.prompt.txt,1,1,0,,1397
SyntheticSeed8_openai_gpt-4o-mini_20260518-005510.prompt.txt,1,1,0,,1396
SyntheticSeed9_openai_gpt-4o-mini_20260518-005527.prompt.txt,1,1,0,,1395
