compile_errors,compile_success_rate,compiled,dataset,duplicates,file,model,proposed,provider,unique
0,1.0,11,SyntheticSeed0,0,SyntheticSeed0_ollama_llama3_2_3b_20260518-023328.json,llama3.2:3b,11,ollama,11
0,0.0,0,SyntheticSeed0,0,SyntheticSeed0_ollama_llama3_2_3b_20260518-024331.json,llama3.2:3b,0,ollama,0
0,1.0,2,SyntheticSeed0,0,SyntheticSeed0_ollama_qwen2.5:0.json,qwen2.5:0.5b,2,ollama,2
0,1.0,2,SyntheticSeed0,0,SyntheticSeed0_ollama_qwen2_5_0_5b_20260518-023104.json,qwen2.5:0.5b,2,ollama,2
0,1.0,2,SyntheticSeed0,0,SyntheticSeed0_ollama_qwen2_5_0_5b_20260518-023927.json,qwen2.5:0.5b,2,ollama,2
0,0.0,0,SyntheticSeed0,0,SyntheticSeed0_ollama_smollm2:135m_20260518-022703.json,smollm2:135m,0,ollama,0
0,0.0,0,SyntheticSeed0,0,SyntheticSeed0_ollama_smollm2_135m_20260518-023028.json,smollm2:135m,0,ollama,0
0,0.0,0,SyntheticSeed0,0,SyntheticSeed0_ollama_smollm2_135m_20260518-023823.json,smollm2:135m,0,ollama,0
0,1.0,24,SyntheticSeed0,0,SyntheticSeed0_openai_gpt-4o-mini_20260518-004641.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed0,0,SyntheticSeed0_openai_gpt-4o-mini_20260518-005233.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed0,0,SyntheticSeed0_openai_gpt-4o-mini_20260518-005306.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed0,0,SyntheticSeed0_openai_gpt-4o-mini_20260518-014617.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed0,0,SyntheticSeed0_openai_gpt-4o_20260524-235307.json,gpt-4o,24,openai,24
0,1.0,25,SyntheticSeed10,0,SyntheticSeed10_openai_gpt-4o-mini_20260518-005545.json,gpt-4o-mini,25,openai,25
0,1.0,24,SyntheticSeed11,0,SyntheticSeed11_openai_gpt-4o-mini_20260518-005609.json,gpt-4o-mini,24,openai,24
0,1.0,25,SyntheticSeed12,0,SyntheticSeed12_openai_gpt-4o-mini_20260518-005626.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed13,0,SyntheticSeed13_openai_gpt-4o-mini_20260518-005638.json,gpt-4o-mini,25,openai,25
0,1.0,24,SyntheticSeed14,0,SyntheticSeed14_openai_gpt-4o-mini_20260518-005651.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed15,0,SyntheticSeed15_openai_gpt-4o-mini_20260518-005710.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed16,0,SyntheticSeed16_openai_gpt-4o-mini_20260518-005734.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed17,0,SyntheticSeed17_openai_gpt-4o-mini_20260518-005750.json,gpt-4o-mini,24,openai,24
0,1.0,25,SyntheticSeed18,0,SyntheticSeed18_openai_gpt-4o-mini_20260518-005805.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed19,0,SyntheticSeed19_openai_gpt-4o-mini_20260518-005819.json,gpt-4o-mini,25,openai,25
0,1.0,4,SyntheticSeed1,0,SyntheticSeed1_ollama_llama3.json,llama3.2:1b,4,ollama,4
0,1.0,5,SyntheticSeed1,0,SyntheticSeed1_ollama_llama3_2_1b_20260518-023150.json,llama3.2:1b,5,ollama,5
4,0.0,0,SyntheticSeed1,0,SyntheticSeed1_ollama_llama3_2_1b_20260518-024209.json,llama3.2:1b,4,ollama,4
0,1.0,11,SyntheticSeed1,0,SyntheticSeed1_ollama_llama3_2_3b_20260518-023357.json,llama3.2:3b,11,ollama,11
0,1.0,2,SyntheticSeed1,0,SyntheticSeed1_ollama_qwen2.5:0.json,qwen2.5:0.5b,2,ollama,2
0,1.0,2,SyntheticSeed1,0,SyntheticSeed1_ollama_qwen2_5_0_5b_20260518-023105.json,qwen2.5:0.5b,2,ollama,2
0,1.0,2,SyntheticSeed1,0,SyntheticSeed1_ollama_qwen2_5_0_5b_20260518-023931.json,qwen2.5:0.5b,2,ollama,2
0,0.0,0,SyntheticSeed1,0,SyntheticSeed1_ollama_smollm2:135m_20260518-022707.json,smollm2:135m,0,ollama,0
0,0.0,0,SyntheticSeed1,0,SyntheticSeed1_ollama_smollm2_135m_20260518-023034.json,smollm2:135m,0,ollama,0
0,0.0,0,SyntheticSeed1,0,SyntheticSeed1_ollama_smollm2_135m_20260518-023831.json,smollm2:135m,0,ollama,0
0,1.0,25,SyntheticSeed1,0,SyntheticSeed1_openai_gpt-4o-mini_20260518-004657.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed1,0,SyntheticSeed1_openai_gpt-4o-mini_20260518-005249.json,gpt-4o-mini,25,openai,25
0,1.0,24,SyntheticSeed1,0,SyntheticSeed1_openai_gpt-4o-mini_20260518-005335.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed1,0,SyntheticSeed1_openai_gpt-4o-mini_20260518-014640.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed1,0,SyntheticSeed1_openai_gpt-4o_20260524-235316.json,gpt-4o,24,openai,24
0,1.0,25,SyntheticSeed20,0,SyntheticSeed20_openai_gpt-4o-mini_20260518-005838.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed21,0,SyntheticSeed21_openai_gpt-4o-mini_20260518-005854.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed22,0,SyntheticSeed22_openai_gpt-4o-mini_20260518-005907.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed23,0,SyntheticSeed23_openai_gpt-4o-mini_20260518-005925.json,gpt-4o-mini,25,openai,25
0,1.0,32,SyntheticSeed2,0,SyntheticSeed2_ollama_llama3.json,llama3.2:3b,32,ollama,32
0,1.0,25,SyntheticSeed2,0,SyntheticSeed2_openai_gpt-4o-mini_20260518-004711.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed2,0,SyntheticSeed2_openai_gpt-4o-mini_20260518-005349.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed2,0,SyntheticSeed2_openai_gpt-4o-mini_20260518-014717.json,gpt-4o-mini,25,openai,25
0,1.0,24,SyntheticSeed2,0,SyntheticSeed2_openai_gpt-4o_20260524-235325.json,gpt-4o,24,openai,24
0,1.0,24,SyntheticSeed3,0,SyntheticSeed3_openai_gpt-4o-mini_20260518-004726.json,gpt-4o-mini,24,openai,24
0,1.0,24,SyntheticSeed3,0,SyntheticSeed3_openai_gpt-4o-mini_20260518-005403.json,gpt-4o-mini,24,openai,24
0,1.0,25,SyntheticSeed3,0,SyntheticSeed3_openai_gpt-4o-mini_20260518-014809.json,gpt-4o-mini,25,openai,25
0,1.0,24,SyntheticSeed4,0,SyntheticSeed4_openai_gpt-4o-mini_20260518-004740.json,gpt-4o-mini,24,openai,24
0,1.0,25,SyntheticSeed4,0,SyntheticSeed4_openai_gpt-4o-mini_20260518-005414.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed5,0,SyntheticSeed5_openai_gpt-4o-mini_20260518-004812.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed5,0,SyntheticSeed5_openai_gpt-4o-mini_20260518-005427.json,gpt-4o-mini,25,openai,25
0,1.0,24,SyntheticSeed6,0,SyntheticSeed6_openai_gpt-4o-mini_20260518-004831.json,gpt-4o-mini,24,openai,24
0,1.0,25,SyntheticSeed6,0,SyntheticSeed6_openai_gpt-4o-mini_20260518-005438.json,gpt-4o-mini,25,openai,25
0,1.0,25,SyntheticSeed7,0,SyntheticSeed7_openai_gpt-4o-mini_20260518-005454.json,gpt-4o-mini,25,openai,25
0,1.0,23,SyntheticSeed8,0,SyntheticSeed8_openai_gpt-4o-mini_20260518-005510.json,gpt-4o-mini,23,openai,23
0,1.0,25,SyntheticSeed9,0,SyntheticSeed9_openai_gpt-4o-mini_20260518-005527.json,gpt-4o-mini,25,openai,25
