dataset,decision,holdout_effect,hypothesis,model,provider,q_value,query,reason,validation_effect
AdultIncome,accepted,0.42943997423768343,`IF x2 = 1 AND x3 = 1 THEN y = 1 increases`,llama3.2:1b,ollama,0.014167650531286895,adult_education_bachelors_plus = 1 AND adult_hours_ge_45 = 1 -> P(y=1) increases,passes all verification gates,0.4309290626335611
AdultIncome,accepted,0.35217556551460943,`IF x9 = 1 AND x10 = 1 THEN y = 1 increases`,llama3.2:1b,ollama,0.014167650531286895,adult_professional_specialty = 1 AND adult_male = 1 -> P(y=1) increases,passes all verification gates,0.3419001771197602
AdultIncome,accepted,0.32338448806036024,`IF x2 = 1 THEN y = 1 increases`,llama3.2:1b,ollama,0.014167650531286895,adult_education_bachelors_plus = 1 -> P(y=1) increases,passes all verification gates,0.33377606951013705
AdultIncome,accepted,0.3132869764001499,`IF x0 = 1 AND x9 = 1 THEN y = 1 increases`,llama3.2:1b,ollama,0.014167650531286895,adult_age_ge_40 = 1 AND adult_professional_specialty = 1 -> P(y=1) increases,passes all verification gates,0.3489657800004712
AdultIncome,accepted,0.2255619922852363,`IF x3 = 1 THEN y = 1 increases`,llama3.2:1b,ollama,0.014167650531286895,adult_hours_ge_45 = 1 -> P(y=1) increases,passes all verification gates,0.23882790958924344
AdultIncome,accepted,0.19326008093289201,`IF x0 = 1 THEN y = 1 increases`,llama3.2:1b,ollama,0.014167650531286895,adult_age_ge_40 = 1 -> P(y=1) increases,passes all verification gates,0.20815237643412582
AdultIncome,accepted,0.05619880511892311,`IF x11 = 1 THEN y = 1 increases`,llama3.2:1b,ollama,0.014167650531286895,adult_native_us = 1 -> P(y=1) increases,passes all verification gates,0.07275748972098953
AdultIncome,rejected,0.5439560439560439,`IF x4 = 1 AND x7 = 1 THEN y = 1 decreases`,llama3.2:1b,ollama,1.0,adult_capital_gain_positive = 1 AND adult_married = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.5126335413433951
AdultIncome,rejected,0.4700981126344601,`IF x7 = 1 AND x8 = 1 THEN y = 1 decreases`,llama3.2:1b,ollama,1.0,adult_married = 1 AND adult_exec_managerial = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.4589745974733418
AdultIncome,rejected,0.3917601510648282,`IF x1 = 1 AND x4 = 1 THEN y = 1 decreases`,llama3.2:1b,ollama,1.0,adult_age_ge_55 = 1 AND adult_capital_gain_positive = 1 -> P(y=1) decreases,insufficient support; weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.39325127592557807
AdultIncome,rejected,0.37244897959183665,`IF x0 = 1 AND x5 = 1 THEN y = 1 decreases`,llama3.2:1b,ollama,1.0,adult_age_ge_40 = 1 AND adult_capital_loss_positive = 1 -> P(y=1) decreases,insufficient support; weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.37608878547055863
AdultIncome,rejected,0.12022296569737101,`IF x0 = 1 AND x6 = 1 THEN y = 1 decreases`,llama3.2:1b,ollama,1.0,adult_age_ge_40 = 1 AND adult_private_workclass = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.13107248614284922
GermanCredit,rejected,-0.3356898786379168,IF x0 = 1 THEN y = 1 increases,llama3.2:1b,ollama,1.0,german_checking_none = 1 -> P(y=1) increases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,-0.3267814205564673
GermanCredit,rejected,0.04517370231973067,IF x4 = 1 AND x9 = 1 THEN y = 1 decreases,llama3.2:1b,ollama,1.0,german_savings_low = 1 AND german_housing_own = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.02587687492843782
AdultIncome,accepted,0.4058766774764513,"hypotheses.append(""IF x0 = 1 AND x2 = 1 THEN y = 1 increases",llama3.2:3b,ollama,0.024793388429752067,adult_age_ge_40 = 1 AND adult_education_bachelors_plus = 1 -> P(y=1) increases,passes all verification gates,0.4255169956659587
AdultIncome,rejected,0.2255619922852363,"hypotheses.append(""IF x3 = 1 THEN y = 1 decreases",llama3.2:3b,ollama,1.0,adult_hours_ge_45 = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.23882790958924344
AdultIncome,rejected,0.0,"hypotheses.append(""IF x4 = 1 AND x5 = 1 THEN y = 1 increases",llama3.2:3b,ollama,1.0,adult_capital_gain_positive = 1 AND adult_capital_loss_positive = 1 -> P(y=1) increases,insufficient support; weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.0
