seed,regime,description,method,accepted,false_accept,true_accept,validation_effect,heldout_effect,matched_effect,decisive_gate
11,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.19536913859541263,0.01671122538977018,0.017010239002351685,heldout
11,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.19775478188402948,0.01610002801455767,0.03407436777117834,heldout
11,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15827102629610515,0.15380467759208777,0.13741312191654273,none
11,true_stable,stable after matching,VeraDM,1,0,1,0.15457699713762926,0.15938351819732205,0.11684324148036473,none
12,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1806739221948442,0.1777592668180731,-0.001388145368467471,counterfactual
12,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17647998852696406,0.1591749166689236,-0.004387724722005867,counterfactual
12,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.20811757287315452,-0.01128509000568763,0.019093426849483994,heldout
12,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.1932537977590832,0.006608941467247441,0.019928306075368902,heldout
12,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15055240592147073,0.14228050165528144,0.14400385945174904,none
12,true_stable,stable after matching,VeraDM,1,0,1,0.15970098788732146,0.1528158184240044,0.13026495373147232,none
13,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18628799448870512,0.175830726332297,-0.009610040978152294,counterfactual
13,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1705305529223493,0.1832323892029089,-0.006898873142671393,counterfactual
13,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.1975046993273713,0.00826976136286188,0.022663675618294445,heldout
13,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20159691359392004,0.031159612936339322,0.020636604332646708,heldout
13,true_stable,stable after matching,StableEnv-BH,1,0,1,0.17334405455106233,0.156248055757497,0.12698745527820576,none
13,true_stable,stable after matching,VeraDM,1,0,1,0.15407251038470135,0.14379096754377402,0.12956556684617299,none
14,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.16936793257917435,0.16133919033010047,0.009691203832587406,counterfactual
14,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17141393933041502,0.18766879784243104,0.001268696400854868,counterfactual
14,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.2115612573163886,0.004596925442939485,0.020434013622728425,heldout
14,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20702196736878112,0.015809934831067025,0.014107145485117505,heldout
14,true_stable,stable after matching,StableEnv-BH,1,0,1,0.1591894734166003,0.16320451626848392,0.1263545658952155,none
14,true_stable,stable after matching,VeraDM,1,0,1,0.16256807461288905,0.14570717469925215,0.13480911713350824,none
15,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.16986855704183493,0.1702655200078671,0.003980006590082797,counterfactual
15,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.18531825467919505,0.16692898065766767,-0.001802515757027273,counterfactual
15,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.210411854168001,0.021159643153924178,0.018166233845404292,heldout
15,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.18512054787945448,0.036834591022743654,0.013912915000680096,heldout
15,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16594338472265302,0.14888827389757012,0.13275283096762053,none
15,true_stable,stable after matching,VeraDM,1,0,1,0.15627232678078348,0.15064597274694172,0.13777642730488504,none
16,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.19680155449997,0.15832874729581278,0.01311217130437059,counterfactual
16,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1776964044889348,0.18375752988546745,-0.0013339354059999555,counterfactual
16,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.2428021404173174,0.009968100735066097,0.007243097767192756,heldout
16,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.19028828849679294,0.014234269644618106,0.011056352856999197,heldout
16,true_stable,stable after matching,StableEnv-BH,1,0,1,0.1742132869590466,0.14836893942736964,0.14240927577866308,none
16,true_stable,stable after matching,VeraDM,1,0,1,0.14584989452001534,0.17039502935811265,0.12160340180433947,none
17,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.17756876711388048,0.16716603068337663,0.012590172703606621,counterfactual
17,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17416865831726966,0.1698519464639248,0.010006499536522152,counterfactual
17,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21443853231729312,0.007953285728329972,0.026512443796068996,heldout
17,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.2101321967099624,0.013112869425260413,0.019660473665457378,heldout
17,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16285976701497337,0.14980249656005593,0.1378347154533762,none
17,true_stable,stable after matching,VeraDM,1,0,1,0.1536866445231502,0.15556990183995603,0.13347464447730506,none
18,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.15680203345405705,0.16181370281217564,0.007060208025490849,counterfactual
18,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17874045489073004,0.16533437234952775,-0.007967613412919945,counterfactual
18,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21303964428661054,0.0008140995125057934,0.024307157259075996,heldout
18,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20768775685203267,0.00852168265584204,0.023833567028561597,heldout
18,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16960700093305425,0.1628482171563484,0.12310062583425138,none
18,true_stable,stable after matching,VeraDM,1,0,1,0.16403442842586471,0.15519607944561933,0.13333919943524356,none
19,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1623003746920093,0.16893366870427798,0.012774267943651427,counterfactual
19,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.165449893200739,0.1473242808898486,-0.0004390875865097029,counterfactual
19,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.2248441384130645,0.02970275799504965,0.03071084217068592,heldout
19,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.22914121436216106,0.020613108014101135,0.0026324678248613106,heldout
19,true_stable,stable after matching,StableEnv-BH,1,0,1,0.14492835399067341,0.14987949880930443,0.13705756787987494,none
19,true_stable,stable after matching,VeraDM,1,0,1,0.1583783157713309,0.14249637710775676,0.12611259737485864,none
20,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18750519885055944,0.17642218651747366,-0.008688270100496734,counterfactual
20,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1931508257876719,0.17083280195752037,0.001865039106965309,counterfactual
20,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.2209293813999131,0.011506637224266432,0.020042485234954725,heldout
20,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20334696836457228,-0.0036077668502202224,0.024892593643832044,heldout
20,true_stable,stable after matching,StableEnv-BH,1,0,1,0.14856803277413533,0.13061897979164538,0.13544673199728519,none
20,true_stable,stable after matching,VeraDM,1,0,1,0.15727684797603853,0.147755978501149,0.1311283651048077,none
21,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18872522049194707,0.17584605233683104,0.00019926349205410138,counterfactual
21,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17195948354930338,0.16056145781382997,0.006971393994093749,counterfactual
21,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21885086012981414,0.011010722706788099,0.027850709926341415,heldout
21,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.2147590437941748,0.02023261654223319,0.019067619911485055,heldout
21,true_stable,stable after matching,StableEnv-BH,1,0,1,0.14633312554919709,0.15936648089643005,0.14659283672357082,none
21,true_stable,stable after matching,VeraDM,1,0,1,0.16765301160791152,0.1423778836367547,0.1394906519533277,none
22,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18753349534725983,0.15174094940075405,-0.009054858079523281,counterfactual
22,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.19055352668042655,0.17382778554673406,0.00016695775246824024,counterfactual
22,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.19700220429821216,-0.0010803830169372423,0.02157042523734943,heldout
22,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21227421101289481,0.0028152364926458265,0.024651617517407375,heldout
22,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16727569735290587,0.14316185215765784,0.11841609446878262,none
22,true_stable,stable after matching,VeraDM,1,0,1,0.16371923622464282,0.14814265157332585,0.13195072441535602,none
23,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18054108481060938,0.17641345183251703,-0.004150257870786638,counterfactual
23,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.18494543230251537,0.17245857375417495,-0.007220769860531354,counterfactual
23,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.2237675551060315,0.015606956294109225,0.015776107690542475,heldout
23,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21334099005435728,-0.005820406803319711,0.033086846297147116,heldout
23,true_stable,stable after matching,StableEnv-BH,1,0,1,0.1714078494106244,0.14999645388772614,0.14010486803871516,none
23,true_stable,stable after matching,VeraDM,1,0,1,0.17150088332268149,0.14128157344878486,0.13244814350723005,none
24,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18092725161432904,0.16114812693142064,0.007838340708804098,counterfactual
24,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1782544040286727,0.15291693296609085,0.005161369282396556,counterfactual
24,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.20115316310994902,-0.00431674334322373,0.011891285976059672,heldout
24,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.1964722627976045,0.021990364222338504,0.020553074196178342,heldout
24,true_stable,stable after matching,StableEnv-BH,1,0,1,0.17016543650506122,0.1569364674252629,0.12290897504516177,none
24,true_stable,stable after matching,VeraDM,1,0,1,0.1669989352518188,0.15171579586171646,0.12550612186967824,none
25,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1829148603042992,0.16283289458559233,-0.00584896201040318,counterfactual
25,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17696172236055288,0.17924510481895925,0.012139686719972365,counterfactual
25,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.2223754813366572,0.020547151716760068,0.027576451161254317,heldout
25,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20473469391142635,0.014288606801642015,0.015795449889935274,heldout
25,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16343878546253893,0.14743001646536616,0.13134514103599396,none
25,true_stable,stable after matching,VeraDM,1,0,1,0.15134167343940705,0.14131659189280507,0.13753028133619552,none
26,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1871084410407438,0.18446449462009276,0.0025662094083957116,counterfactual
26,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.18872561648688915,0.16358483748185298,0.010743033126163749,counterfactual
26,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.22456157420649936,0.015921609542327065,-0.001008541849096132,heldout
26,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21693424864427027,0.011372005017428546,0.0282985933724141,heldout
26,true_stable,stable after matching,StableEnv-BH,1,0,1,0.14890281490889723,0.15361544169940486,0.1248632618972156,none
26,true_stable,stable after matching,VeraDM,1,0,1,0.15059096865760535,0.14500003424205377,0.12336565687215167,none
27,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.16706251434048786,0.17515127271481618,-0.004665671953713505,counterfactual
27,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17924971512262416,0.16696438482606,0.0027999440870152548,counterfactual
27,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.18784713641337453,0.014172619985632191,0.01709518158531419,heldout
27,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21345272594928413,0.017266223402857404,0.0269632247770621,heldout
27,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15798610029175678,0.15975064549071327,0.13995541362078656,none
27,true_stable,stable after matching,VeraDM,1,0,1,0.16454402281516925,0.16974847538014923,0.12726434687545357,none
28,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.196414588295945,0.17367694307473946,-0.002258741067784753,counterfactual
28,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.19153938653026797,0.16406677798153385,0.001696003183218978,counterfactual
28,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.20564492275245155,0.020041997339350706,-8.736396409365216e-05,heldout
28,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21489037419538248,0.013203336158402388,0.006320515179631649,heldout
28,true_stable,stable after matching,StableEnv-BH,1,0,1,0.1590372729537154,0.14644084941799212,0.12868038076439497,none
28,true_stable,stable after matching,VeraDM,1,0,1,0.18510618516194402,0.15975927459026623,0.1254049533702055,none
29,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.17721048976143872,0.17311868689850862,-0.00216303037680786,counterfactual
29,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17522246725951798,0.17032179611839524,-0.007315426347901043,counterfactual
29,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21300732075916265,0.019289291784721406,0.02153865143742567,heldout
29,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.2133539444297034,0.009060062819256575,0.023258857956975704,heldout
29,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15959625445878972,0.15070410970962217,0.1179989865394206,none
29,true_stable,stable after matching,VeraDM,1,0,1,0.15736458966265365,0.16064178536246915,0.12767002293952706,none
30,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.16231818024793357,0.17549899974123867,-0.0046031027903614035,counterfactual
30,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1817044209481383,0.1805037016331954,-0.004144632527054603,counterfactual
30,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21061939752473366,0.02036187450848342,0.03282644053146412,heldout
30,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20184457403825293,-0.012865142397123658,0.03041169064878218,heldout
30,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16808393660906673,0.145512799138366,0.12012919269087517,none
30,true_stable,stable after matching,VeraDM,1,0,1,0.16401622699713717,0.14659465428175597,0.14822654323897722,none
31,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1765833387396347,0.18794350474842222,0.014856437066195062,counterfactual
31,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1893383602399243,0.17350585523842224,-0.002004877505328613,counterfactual
31,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21761516359264055,0.016334415029998953,0.03547808303368141,heldout
31,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.1925015610408959,-0.004374579605061707,0.01790534524274914,heldout
31,true_stable,stable after matching,StableEnv-BH,1,0,1,0.1727491027121822,0.15795669867915824,0.1325207869215532,none
31,true_stable,stable after matching,VeraDM,1,0,1,0.16977729101019529,0.16169905950049912,0.14232727588237032,none
32,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1878382734685666,0.17092999099743036,-0.005288236435666429,counterfactual
32,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.180485052571639,0.1785616542161979,0.0017324202388432565,counterfactual
32,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21696756130584166,0.018354672581672192,0.01241536381798751,heldout
32,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21722463434713962,0.023570508471714186,0.01425225949302084,heldout
32,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15947270261340254,0.13286449957731156,0.11193174655403194,none
32,true_stable,stable after matching,VeraDM,1,0,1,0.16422796548460233,0.15236302137481011,0.12597225008974508,none
33,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18065037643867504,0.17403521409730716,0.011475342886013616,counterfactual
33,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1847138377420181,0.16185866516408948,0.009445105225093937,counterfactual
33,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.19634507961871053,0.017155749724077175,0.012117653982142661,heldout
33,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21101591279207937,0.01153451921172366,0.0026032558325480327,heldout
33,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15513533626194384,0.1386673284212056,0.14593574667344236,none
33,true_stable,stable after matching,VeraDM,1,0,1,0.15233669690827226,0.12572864876676298,0.11993554950730469,none
34,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18089601196852403,0.18011070026016945,-0.0009147874461018667,counterfactual
34,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1736817687381385,0.15669588016402303,0.007970310905714156,counterfactual
34,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.23259212254312345,-0.00812982289001262,0.015509666148481968,heldout
34,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.1987274146863146,0.015030223399288997,0.00943668486166839,heldout
34,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15658760778399433,0.14603932581771517,0.12269625973703532,none
34,true_stable,stable after matching,VeraDM,1,0,1,0.15295474019415534,0.14984982518619513,0.13547981128791184,none
35,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.174317138107767,0.17191009607402147,0.010077282660267589,counterfactual
35,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1862205897662573,0.16169474039431364,0.008690855690143768,counterfactual
35,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.20509787946414004,-0.0012416545150445747,0.024850691219341234,heldout
35,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20871281896503108,0.00837516302312806,0.020662980065852578,heldout
35,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16614518098027753,0.13780587647305875,0.1369119865663319,none
35,true_stable,stable after matching,VeraDM,1,0,1,0.15080539436988044,0.14857813568301867,0.13717552704075386,none
36,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.15867448786608773,0.1631326587842602,0.012522630280918429,counterfactual
36,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1954717535452576,0.16866923551073187,-0.004732583423669649,counterfactual
36,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21217239757449619,0.013543877485672564,0.012100111030030617,heldout
36,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20866780226988815,0.004075974049791109,0.02100365036715309,heldout
