participant_id,order,item_id,condition,prompt,response_action,confidence_1_to_5,time_seconds,notes
P01,11,bike_07,evidence_card,"Claim: IF x15 = 1 AND x6 = 1 THEN y = 1 decreases | Query: bike_winter = 1 AND bike_night = 1 -> P(y=1) decreases | Validation support/effect: 0.014/-0.340 | q: 0.003 | Matched contrast: -0.292 | Held-out support/effect/CI: 0.061/-0.518/[-0.527,-0.506] | Verifier decision: rejected | Reason: insufficient support",do_not_act,3,46,
P01,12,healthcare_09,prose_only,"In the Healthcare data, the rule 'diab_inpatient_prior -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,14,
P02,1,healthcare_09,prose_only,"In the Healthcare data, the rule 'diab_inpatient_prior -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,2,36,
P02,2,bank_01,evidence_card,"Claim: IF x13 = 1 AND x21 = 1 THEN y = 1 increases | Query: bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases | Validation support/effect: 0.036/0.588 | q: 0.003 | Matched contrast: 0.580 | Held-out support/effect/CI: 0.037/0.578/[0.504,0.654] | Verifier decision: accepted | Reason: passes all verification gates",act,4,64,
P02,3,bank_03,prose_only,"In the Bank data, the rule 'bank_poutcome_success -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,4,48,
P02,4,bank_02,evidence_card,"Claim: IF x3 = 1 AND x15 = 1 THEN y = 1 decreases | Query: bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases | Validation support/effect: 0.068/-0.042 | q: 0.003 | Matched contrast: -0.040 | Held-out support/effect/CI: 0.029/-0.053/[-0.088,-0.008] | Verifier decision: accepted | Reason: passes all verification gates",act,3,26,
P02,5,healthcare_12,prose_only,"In the Healthcare data, the rule 'diab_num_lab_procedures_ge_60 -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,3,17,
P02,6,healthcare_10,evidence_card,"Claim: IF x19 = 1 THEN y = 1 decreases | Query: diab_no_prior_utilization = 1 -> P(y=1) decreases | Validation support/effect: 0.532/-0.063 | q: 0.003 | Matched contrast: -0.062 | Held-out support/effect/CI: 0.495/-0.061/[-0.067,-0.054] | Verifier decision: accepted | Reason: passes all verification gates",do_not_act,2,48,
P02,7,bike_08,prose_only,"In the Bike data, the rule 'bike_wind_high AND bike_temp_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,4,22,
P02,8,bike_06,evidence_card,"Claim: IF x9 = 1 AND x12 = 1 THEN y = 1 decreases | Query: bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases | Validation support/effect: 0.079/-0.251 | q: 0.003 | Matched contrast: -0.248 | Held-out support/effect/CI: 0.056/-0.331/[-0.363,-0.294] | Verifier decision: accepted | Reason: passes all verification gates",act,4,66,
P02,9,bike_05,prose_only,"In the Bike data, the rule 'bike_workingday AND bike_evening_peak -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,3,50,
P02,10,healthcare_11,evidence_card,"Claim: IF x13 = 1 THEN y = 1 increases | Query: diab_admission_emergency = 1 -> P(y=1) increases | Validation support/effect: 0.712/0.006 | q: 0.105 | Matched contrast: 0.005 | Held-out support/effect/CI: 0.755/0.019/[0.012,0.026] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak",do_not_act,4,34,
P02,11,bike_07,prose_only,"In the Bike data, the rule 'bike_winter AND bike_night -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,4,47,
P02,12,bank_04,evidence_card,"Claim: IF x10 = 1 THEN y = 1 increases | Query: bank_contact_cellular = 1 -> P(y=1) increases | Validation support/effect: 0.899/0.031 | q: 0.003 | Matched contrast: 0.029 | Held-out support/effect/CI: 0.896/-0.018/[-0.051,0.018] | Verifier decision: rejected | Reason: weak validation effect; matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,4,73,
P03,1,bike_08,evidence_card,"Claim: IF x13 = 1 AND x10 = 1 THEN y = 1 decreases | Query: bike_wind_high = 1 AND bike_temp_high = 1 -> P(y=1) decreases | Validation support/effect: 0.037/0.187 | q: 1.000 | Matched contrast: 0.338 | Held-out support/effect/CI: 0.038/0.374/[0.335,0.415] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,4,26,
P03,2,bike_07,prose_only,"In the Bike data, the rule 'bike_winter AND bike_night -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",act,3,29,
P03,3,bank_02,evidence_card,"Claim: IF x3 = 1 AND x15 = 1 THEN y = 1 decreases | Query: bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases | Validation support/effect: 0.068/-0.042 | q: 0.003 | Matched contrast: -0.040 | Held-out support/effect/CI: 0.029/-0.053/[-0.088,-0.008] | Verifier decision: accepted | Reason: passes all verification gates",act,4,37,
P03,4,bike_06,prose_only,"In the Bike data, the rule 'bike_bad_weather AND bike_humidity_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",act,5,41,
P03,5,bank_01,evidence_card,"Claim: IF x13 = 1 AND x21 = 1 THEN y = 1 increases | Query: bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases | Validation support/effect: 0.036/0.588 | q: 0.003 | Matched contrast: 0.580 | Held-out support/effect/CI: 0.037/0.578/[0.504,0.654] | Verifier decision: accepted | Reason: passes all verification gates",act,4,39,
P03,6,bike_05,prose_only,"In the Bike data, the rule 'bike_workingday AND bike_evening_peak -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,49,
P03,7,healthcare_10,evidence_card,"Claim: IF x19 = 1 THEN y = 1 decreases | Query: diab_no_prior_utilization = 1 -> P(y=1) decreases | Validation support/effect: 0.532/-0.063 | q: 0.003 | Matched contrast: -0.062 | Held-out support/effect/CI: 0.495/-0.061/[-0.067,-0.054] | Verifier decision: accepted | Reason: passes all verification gates",act,5,47,
P03,8,healthcare_11,prose_only,"In the Healthcare data, the rule 'diab_admission_emergency -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,4,44,
P03,9,healthcare_09,evidence_card,"Claim: IF x7 = 1 THEN y = 1 increases | Query: diab_inpatient_prior = 1 -> P(y=1) increases | Validation support/effect: 0.333/0.079 | q: 0.003 | Matched contrast: 0.078 | Held-out support/effect/CI: 0.354/0.078/[0.070,0.085] | Verifier decision: accepted | Reason: passes all verification gates",act,3,31,
P03,10,healthcare_12,prose_only,"In the Healthcare data, the rule 'diab_num_lab_procedures_ge_60 -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,4,39,
P03,11,bank_04,evidence_card,"Claim: IF x10 = 1 THEN y = 1 increases | Query: bank_contact_cellular = 1 -> P(y=1) increases | Validation support/effect: 0.899/0.031 | q: 0.003 | Matched contrast: 0.029 | Held-out support/effect/CI: 0.896/-0.018/[-0.051,0.018] | Verifier decision: rejected | Reason: weak validation effect; matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,5,48,
P03,12,bank_03,prose_only,"In the Bank data, the rule 'bank_poutcome_success -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,5,45,
P04,1,bank_04,prose_only,"In the Bank data, the rule 'bank_contact_cellular -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,19,
P04,2,bike_06,evidence_card,"Claim: IF x9 = 1 AND x12 = 1 THEN y = 1 decreases | Query: bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases | Validation support/effect: 0.079/-0.251 | q: 0.003 | Matched contrast: -0.248 | Held-out support/effect/CI: 0.056/-0.331/[-0.363,-0.294] | Verifier decision: accepted | Reason: passes all verification gates",act,4,73,
P04,3,healthcare_12,prose_only,"In the Healthcare data, the rule 'diab_num_lab_procedures_ge_60 -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,30,
P04,4,bank_01,evidence_card,"Claim: IF x13 = 1 AND x21 = 1 THEN y = 1 increases | Query: bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases | Validation support/effect: 0.036/0.588 | q: 0.003 | Matched contrast: 0.580 | Held-out support/effect/CI: 0.037/0.578/[0.504,0.654] | Verifier decision: accepted | Reason: passes all verification gates",act,5,24,
P04,5,healthcare_11,prose_only,"In the Healthcare data, the rule 'diab_admission_emergency -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,3,44,
P04,6,bike_05,evidence_card,"Claim: IF x1 = 1 AND x4 = 1 THEN y = 1 increases | Query: bike_workingday = 1 AND bike_evening_peak = 1 -> P(y=1) increases | Validation support/effect: 0.114/0.592 | q: 0.003 | Matched contrast: 0.591 | Held-out support/effect/CI: 0.114/0.512/[0.494,0.531] | Verifier decision: accepted | Reason: passes all verification gates",act,3,64,
P04,7,healthcare_10,prose_only,"In the Healthcare data, the rule 'diab_no_prior_utilization -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",act,4,21,
P04,8,bike_07,evidence_card,"Claim: IF x15 = 1 AND x6 = 1 THEN y = 1 decreases | Query: bike_winter = 1 AND bike_night = 1 -> P(y=1) decreases | Validation support/effect: 0.014/-0.340 | q: 0.003 | Matched contrast: -0.292 | Held-out support/effect/CI: 0.061/-0.518/[-0.527,-0.506] | Verifier decision: rejected | Reason: insufficient support",do_not_act,4,58,
P04,9,bank_03,prose_only,"In the Bank data, the rule 'bank_poutcome_success -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,2,50,
P04,10,bike_08,evidence_card,"Claim: IF x13 = 1 AND x10 = 1 THEN y = 1 decreases | Query: bike_wind_high = 1 AND bike_temp_high = 1 -> P(y=1) decreases | Validation support/effect: 0.037/0.187 | q: 1.000 | Matched contrast: 0.338 | Held-out support/effect/CI: 0.038/0.374/[0.335,0.415] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,3,31,
P04,11,healthcare_09,prose_only,"In the Healthcare data, the rule 'diab_inpatient_prior -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,27,
P04,12,bank_02,evidence_card,"Claim: IF x3 = 1 AND x15 = 1 THEN y = 1 decreases | Query: bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases | Validation support/effect: 0.068/-0.042 | q: 0.003 | Matched contrast: -0.040 | Held-out support/effect/CI: 0.029/-0.053/[-0.088,-0.008] | Verifier decision: accepted | Reason: passes all verification gates",act,3,29,
P05,1,bank_02,evidence_card,"Claim: IF x3 = 1 AND x15 = 1 THEN y = 1 decreases | Query: bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases | Validation support/effect: 0.068/-0.042 | q: 0.003 | Matched contrast: -0.040 | Held-out support/effect/CI: 0.029/-0.053/[-0.088,-0.008] | Verifier decision: accepted | Reason: passes all verification gates",act,3,72,
P05,2,bike_07,prose_only,"In the Bike data, the rule 'bike_winter AND bike_night -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,4,20,
P05,3,healthcare_12,evidence_card,"Claim: IF x2 = 1 THEN y = 1 increases | Query: diab_num_lab_procedures_ge_60 = 1 -> P(y=1) increases | Validation support/effect: 0.170/0.012 | q: 0.006 | Matched contrast: 0.009 | Held-out support/effect/CI: 0.236/0.005/[-0.003,0.013] | Verifier decision: rejected | Reason: matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,4,40,
P05,4,bank_04,prose_only,"In the Bank data, the rule 'bank_contact_cellular -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,5,25,
P05,5,healthcare_09,evidence_card,"Claim: IF x7 = 1 THEN y = 1 increases | Query: diab_inpatient_prior = 1 -> P(y=1) increases | Validation support/effect: 0.333/0.079 | q: 0.003 | Matched contrast: 0.078 | Held-out support/effect/CI: 0.354/0.078/[0.070,0.085] | Verifier decision: accepted | Reason: passes all verification gates",do_not_act,2,69,
P05,6,bike_05,prose_only,"In the Bike data, the rule 'bike_workingday AND bike_evening_peak -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,4,40,
P05,7,bank_03,evidence_card,"Claim: IF x18 = 1 THEN y = 1 increases | Query: bank_poutcome_success = 1 -> P(y=1) increases | Validation support/effect: 0.023/0.610 | q: 0.003 | Matched contrast: 0.592 | Held-out support/effect/CI: 0.040/0.494/[0.417,0.571] | Verifier decision: rejected | Reason: insufficient support",act,3,31,
P05,8,bike_08,prose_only,"In the Bike data, the rule 'bike_wind_high AND bike_temp_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,3,33,
P05,9,healthcare_11,evidence_card,"Claim: IF x13 = 1 THEN y = 1 increases | Query: diab_admission_emergency = 1 -> P(y=1) increases | Validation support/effect: 0.712/0.006 | q: 0.105 | Matched contrast: 0.005 | Held-out support/effect/CI: 0.755/0.019/[0.012,0.026] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak",do_not_act,4,61,
P05,10,bike_06,prose_only,"In the Bike data, the rule 'bike_bad_weather AND bike_humidity_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",act,3,15,
P05,11,bank_01,evidence_card,"Claim: IF x13 = 1 AND x21 = 1 THEN y = 1 increases | Query: bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases | Validation support/effect: 0.036/0.588 | q: 0.003 | Matched contrast: 0.580 | Held-out support/effect/CI: 0.037/0.578/[0.504,0.654] | Verifier decision: accepted | Reason: passes all verification gates",act,3,45,
P05,12,healthcare_10,prose_only,"In the Healthcare data, the rule 'diab_no_prior_utilization -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",act,4,29,
P06,1,bank_02,prose_only,"In the Bank data, the rule 'bank_job_blue_collar AND bank_campaign_gt_2 -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,2,46,
P06,2,healthcare_10,evidence_card,"Claim: IF x19 = 1 THEN y = 1 decreases | Query: diab_no_prior_utilization = 1 -> P(y=1) decreases | Validation support/effect: 0.532/-0.063 | q: 0.003 | Matched contrast: -0.062 | Held-out support/effect/CI: 0.495/-0.061/[-0.067,-0.054] | Verifier decision: accepted | Reason: passes all verification gates",act,5,39,
P06,3,bike_05,prose_only,"In the Bike data, the rule 'bike_workingday AND bike_evening_peak -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,24,
P06,4,bike_08,evidence_card,"Claim: IF x13 = 1 AND x10 = 1 THEN y = 1 decreases | Query: bike_wind_high = 1 AND bike_temp_high = 1 -> P(y=1) decreases | Validation support/effect: 0.037/0.187 | q: 1.000 | Matched contrast: 0.338 | Held-out support/effect/CI: 0.038/0.374/[0.335,0.415] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,5,46,
P06,5,bike_07,prose_only,"In the Bike data, the rule 'bike_winter AND bike_night -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,5,15,
P06,6,bank_03,evidence_card,"Claim: IF x18 = 1 THEN y = 1 increases | Query: bank_poutcome_success = 1 -> P(y=1) increases | Validation support/effect: 0.023/0.610 | q: 0.003 | Matched contrast: 0.592 | Held-out support/effect/CI: 0.040/0.494/[0.417,0.571] | Verifier decision: rejected | Reason: insufficient support",do_not_act,3,27,
P06,7,bank_01,prose_only,"In the Bank data, the rule 'bank_duration_ge_300 AND bank_euribor_low -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,4,18,
P06,8,bike_06,evidence_card,"Claim: IF x9 = 1 AND x12 = 1 THEN y = 1 decreases | Query: bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases | Validation support/effect: 0.079/-0.251 | q: 0.003 | Matched contrast: -0.248 | Held-out support/effect/CI: 0.056/-0.331/[-0.363,-0.294] | Verifier decision: accepted | Reason: passes all verification gates",act,4,58,
P06,9,healthcare_12,prose_only,"In the Healthcare data, the rule 'diab_num_lab_procedures_ge_60 -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,5,23,
P06,10,healthcare_11,evidence_card,"Claim: IF x13 = 1 THEN y = 1 increases | Query: diab_admission_emergency = 1 -> P(y=1) increases | Validation support/effect: 0.712/0.006 | q: 0.105 | Matched contrast: 0.005 | Held-out support/effect/CI: 0.755/0.019/[0.012,0.026] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak",do_not_act,4,28,
P06,11,bank_04,prose_only,"In the Bank data, the rule 'bank_contact_cellular -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,15,
P06,12,healthcare_09,evidence_card,"Claim: IF x7 = 1 THEN y = 1 increases | Query: diab_inpatient_prior = 1 -> P(y=1) increases | Validation support/effect: 0.333/0.079 | q: 0.003 | Matched contrast: 0.078 | Held-out support/effect/CI: 0.354/0.078/[0.070,0.085] | Verifier decision: accepted | Reason: passes all verification gates",act,3,29,
P07,1,bank_04,evidence_card,"Claim: IF x10 = 1 THEN y = 1 increases | Query: bank_contact_cellular = 1 -> P(y=1) increases | Validation support/effect: 0.899/0.031 | q: 0.003 | Matched contrast: 0.029 | Held-out support/effect/CI: 0.896/-0.018/[-0.051,0.018] | Verifier decision: rejected | Reason: weak validation effect; matched counterfactual contrast is weak; held-out effect does not replicate",act,2,34,
P07,2,healthcare_10,prose_only,"In the Healthcare data, the rule 'diab_no_prior_utilization -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",act,5,25,
P07,3,bike_07,evidence_card,"Claim: IF x15 = 1 AND x6 = 1 THEN y = 1 decreases | Query: bike_winter = 1 AND bike_night = 1 -> P(y=1) decreases | Validation support/effect: 0.014/-0.340 | q: 0.003 | Matched contrast: -0.292 | Held-out support/effect/CI: 0.061/-0.518/[-0.527,-0.506] | Verifier decision: rejected | Reason: insufficient support",act,2,34,
P07,4,bike_08,prose_only,"In the Bike data, the rule 'bike_wind_high AND bike_temp_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,5,28,
P07,5,bank_01,evidence_card,"Claim: IF x13 = 1 AND x21 = 1 THEN y = 1 increases | Query: bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases | Validation support/effect: 0.036/0.588 | q: 0.003 | Matched contrast: 0.580 | Held-out support/effect/CI: 0.037/0.578/[0.504,0.654] | Verifier decision: accepted | Reason: passes all verification gates",do_not_act,3,42,
P07,6,bank_03,prose_only,"In the Bank data, the rule 'bank_poutcome_success -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,5,21,
P07,7,bank_02,evidence_card,"Claim: IF x3 = 1 AND x15 = 1 THEN y = 1 decreases | Query: bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases | Validation support/effect: 0.068/-0.042 | q: 0.003 | Matched contrast: -0.040 | Held-out support/effect/CI: 0.029/-0.053/[-0.088,-0.008] | Verifier decision: accepted | Reason: passes all verification gates",act,4,27,
P07,8,healthcare_09,prose_only,"In the Healthcare data, the rule 'diab_inpatient_prior -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,3,32,
P07,9,bike_06,evidence_card,"Claim: IF x9 = 1 AND x12 = 1 THEN y = 1 decreases | Query: bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases | Validation support/effect: 0.079/-0.251 | q: 0.003 | Matched contrast: -0.248 | Held-out support/effect/CI: 0.056/-0.331/[-0.363,-0.294] | Verifier decision: accepted | Reason: passes all verification gates",act,5,56,
P07,10,healthcare_12,prose_only,"In the Healthcare data, the rule 'diab_num_lab_procedures_ge_60 -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,2,15,
P07,11,healthcare_11,evidence_card,"Claim: IF x13 = 1 THEN y = 1 increases | Query: diab_admission_emergency = 1 -> P(y=1) increases | Validation support/effect: 0.712/0.006 | q: 0.105 | Matched contrast: 0.005 | Held-out support/effect/CI: 0.755/0.019/[0.012,0.026] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak",act,2,35,
P07,12,bike_05,prose_only,"In the Bike data, the rule 'bike_workingday AND bike_evening_peak -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,3,27,
P08,1,healthcare_09,prose_only,"In the Healthcare data, the rule 'diab_inpatient_prior -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",act,4,49,
P08,2,bank_03,evidence_card,"Claim: IF x18 = 1 THEN y = 1 increases | Query: bank_poutcome_success = 1 -> P(y=1) increases | Validation support/effect: 0.023/0.610 | q: 0.003 | Matched contrast: 0.592 | Held-out support/effect/CI: 0.040/0.494/[0.417,0.571] | Verifier decision: rejected | Reason: insufficient support",do_not_act,3,50,
P08,3,bike_07,prose_only,"In the Bike data, the rule 'bike_winter AND bike_night -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,4,28,
P08,4,bank_02,evidence_card,"Claim: IF x3 = 1 AND x15 = 1 THEN y = 1 decreases | Query: bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases | Validation support/effect: 0.068/-0.042 | q: 0.003 | Matched contrast: -0.040 | Held-out support/effect/CI: 0.029/-0.053/[-0.088,-0.008] | Verifier decision: accepted | Reason: passes all verification gates",act,4,39,
P08,5,healthcare_10,prose_only,"In the Healthcare data, the rule 'diab_no_prior_utilization -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",act,4,31,
P08,6,healthcare_11,evidence_card,"Claim: IF x13 = 1 THEN y = 1 increases | Query: diab_admission_emergency = 1 -> P(y=1) increases | Validation support/effect: 0.712/0.006 | q: 0.105 | Matched contrast: 0.005 | Held-out support/effect/CI: 0.755/0.019/[0.012,0.026] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak",do_not_act,3,24,
P08,7,bank_04,prose_only,"In the Bank data, the rule 'bank_contact_cellular -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,16,
P08,8,bike_05,evidence_card,"Claim: IF x1 = 1 AND x4 = 1 THEN y = 1 increases | Query: bike_workingday = 1 AND bike_evening_peak = 1 -> P(y=1) increases | Validation support/effect: 0.114/0.592 | q: 0.003 | Matched contrast: 0.591 | Held-out support/effect/CI: 0.114/0.512/[0.494,0.531] | Verifier decision: accepted | Reason: passes all verification gates",act,4,32,
P08,9,bike_08,prose_only,"In the Bike data, the rule 'bike_wind_high AND bike_temp_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",act,2,27,
P08,10,healthcare_12,evidence_card,"Claim: IF x2 = 1 THEN y = 1 increases | Query: diab_num_lab_procedures_ge_60 = 1 -> P(y=1) increases | Validation support/effect: 0.170/0.012 | q: 0.006 | Matched contrast: 0.009 | Held-out support/effect/CI: 0.236/0.005/[-0.003,0.013] | Verifier decision: rejected | Reason: matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,4,52,
P08,11,bike_06,prose_only,"In the Bike data, the rule 'bike_bad_weather AND bike_humidity_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,3,45,
P08,12,bank_01,evidence_card,"Claim: IF x13 = 1 AND x21 = 1 THEN y = 1 increases | Query: bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases | Validation support/effect: 0.036/0.588 | q: 0.003 | Matched contrast: 0.580 | Held-out support/effect/CI: 0.037/0.578/[0.504,0.654] | Verifier decision: accepted | Reason: passes all verification gates",act,4,66,
P09,1,healthcare_12,evidence_card,"Claim: IF x2 = 1 THEN y = 1 increases | Query: diab_num_lab_procedures_ge_60 = 1 -> P(y=1) increases | Validation support/effect: 0.170/0.012 | q: 0.006 | Matched contrast: 0.009 | Held-out support/effect/CI: 0.236/0.005/[-0.003,0.013] | Verifier decision: rejected | Reason: matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,4,40,
P09,2,healthcare_11,prose_only,"In the Healthcare data, the rule 'diab_admission_emergency -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,47,
